arr_size,avg_partition_size
100,40.0000
200,74.5000
300,114.9000
400,153.0000
500,194.8000
600,236.1000
700,279.3000
800,272.3000
900,351.9000
1000,398.3000
1100,417.8000
1200,469.7000
1300,524.2000
1400,557.0000
1500,599.6000
1600,646.6000
1700,688.3000
1800,722.0000
1900,764.6000
2000,804.7000
2100,847.4000
2200,882.3000
2300,934.5000
2400,957.4000
2500,1016.9000
2600,1036.8000
2700,1088.7000
2800,1114.3000
2900,1172.3000
3000,1208.0000
3100,1245.1000
3200,1294.2000
3300,1092.1000
3400,1340.5000
3500,1418.4000
3600,1442.6000
3700,1473.0000
3800,1198.7000
3900,1429.9000
4000,1471.9000
4100,1631.2000
4200,1698.2000
4300,1739.3000
4400,1764.8000
4500,1802.2000
4600,1862.2000
4700,1880.8000
4800,1927.3000
4900,1980.5000
5000,2019.9000
5100,2053.8000
5200,2090.3999
5300,2144.0000
5400,2166.2000
5500,2205.5000
5600,2274.0000
5700,2272.7000
5800,2321.7000
5900,2340.2000
6000,2403.8000
6100,2456.3000
6200,2492.1001
6300,2547.5000
6400,2558.0000
6500,2620.8000
6600,2658.8999
6700,2698.7000
6800,2731.7000
6900,2781.8999
7000,2815.8000
7100,2871.0000
7200,2886.0000
7300,2944.3999
7400,2994.0000
7500,3031.1001
7600,3065.5000
7700,3136.1001
7800,3137.2000
7900,3177.3000
8000,3231.0000
8100,3259.1001
8200,3316.7000
8300,3351.3999
8400,3375.3999
8500,3433.8000
8600,3457.6001
